project_id,project_type,title,gpt4o_primary_code,gpt4o_primary_title,gpt4o_confidence,gpt4o_reason,gpt41_primary_code,gpt41_primary_title,gpt41_confidence,gpt41_reason,exact_code_agreement,manual_correct_model,manual_notes
350,QD_PROJECT,"Data from: Life at the top: lake ecotype influences the foraging patterns, metabolic costs and life history of an apex fish predator",A03,Fishing and aquaculture,0.95,"The research focuses on the foraging patterns and metabolic costs of a fish predator, which falls under the category of fishing and aquaculture.",A03,Fishing and aquaculture,0.95,"The project focuses on ecological and biological research of fish behavior and metabolism in natural aquatic environments, which aligns with fishing and aquaculture activities under division A03.",True,,
360,QD_PROJECT,Early detection and environmental drivers of sewage fungus outbreaks in rivers,E36,"Water collection, treatment and supply",0.95,"The project focuses on water quality and pollution related to sewage, which aligns with water collection, treatment, and sewerage activities.",N72,Scientific research and development,0.9,"The project is primarily scientific research on environmental monitoring and ecology using innovative methods, fitting best under Scientific research and development (N72).",False,,
684,QD_PROJECT,"Change in gender roles as a factor in gender participation and empowerment in the oil mining industry: A case of Lokichar, Turkana county, Kenya",B06,Extraction of crude petroleum and natural gas,0.85,"The research focuses on gender roles and participation in the oil mining industry, which aligns with the extraction of crude petroleum and natural gas.",B06,Extraction of crude petroleum and natural gas,0.9,"The project focuses on gender participation and empowerment specifically within the oil mining industry, which aligns with extraction of crude petroleum and natural gas activities.",True,,
972,QD_PROJECT,News Articles about Finns Party Members Convicted of Hate Speech 2016-2017,J60,"Programming, broadcasting, news agency and other content distribution activities",0.92,"The project focuses on news articles discussing political hate speech convictions, which aligns with content distribution activities.",P84,Public administration and defence; compulsory social security,0.95,"The project focuses on legal and political aspects of hate speech convictions and public discourse, aligning with public administration and defence activities rather than education or media production.",False,,
1013,QD_PROJECT,Collaborative Planning of Urban Green Infrastructure 2013,O81,Services to buildings and landscape activities,0.92,"The project focuses on planning urban green areas and involves interviews with professionals in urban planning, which aligns with landscape activities.",O81,Services to buildings and landscape activities,0.9,"The project focuses on planning and management of urban green spaces, which aligns with services to buildings and landscape activities rather than scientific research or public administration.",True,,
1025,QD_PROJECT,Food Diaries of Finns 2013,C10,Manufacture of food products,0.85,"The project focuses on food diaries, which relate to food consumption and preferences, aligning it with the manufacture of food products.",C10,Manufacture of food products,0.9,"The project focuses on food consumption and dietary habits, which aligns best with the manufacture of food products sector rather than food service or agriculture.",True,,
1043,QD_PROJECT,Interviews on Enterprise Development in Kauhajoki 2013,O82,"Office administrative, office support and other business support activities",0.85,"The project focuses on enterprise development and entrepreneurship, which aligns with business support activities.",N73,"Activities of advertising, market research and public relations",0.85,"The project focuses on qualitative research about business life and entrepreneurship development, which aligns best with N73 (Activities of advertising, market research and public relations) as it covers business and entrepreneurial activities rather than manufacturing or public administration.",False,,
1114,QD_PROJECT,Clothing Design for Ageing Women 2001-2002: Interviews,C14,Manufacture of wearing apparel,0.85,"The project focuses on clothing design specifically for ageing women, which aligns with the manufacture of wearing apparel.",C14,Manufacture of wearing apparel,0.9,"The project focuses on clothing design specifically for ageing women, which aligns with the manufacture of wearing apparel sector (C14).",True,,
1153,QD_PROJECT,Young Girls' Mobile Phone Use 2000-2002,K61,Telecommunications,0.85,"The project focuses on the use of mobile phones among young girls, which falls under telecommunications and communication technology.",Q85,Education,0.9,"The project focuses on young girls' use of mobile phones in everyday life and school, involving interviews about social and educational contexts, fitting best under Education (Q85).",False,,
1327,QD_PROJECT,Bilateral Trade,G46,Wholesale trade,0.9,"The project focuses on bilateral trade data, which falls under wholesale trade activities.",G46,Wholesale trade,0.9,"The project focuses on bilateral trade data between states, which aligns with wholesale trade activities under division G46.",True,,
1725,QD_PROJECT,Sauberkeit 1967,T96,Personal service activities,0.85,"The project focuses on household washing habits, which falls under personal service activities.",N73,"Activities of advertising, market research and public relations",0.75,"The project studies household washing habits, which relates to market research and social behavior rather than manufacturing, health, or education sectors.",False,,
1731,QD_PROJECT,Einstellung der Jugendlichen zu verschiedenen Produktbereichen (Band 3) 1971,G47,Retail trade,0.85,"The project focuses on youth opinions regarding various consumer products, aligning it with retail trade and consumer behavior.",N73,"Activities of advertising, market research and public relations",0.85,"The project studies youth opinions on consumer products, aligning with market research and advertising activities in N73 rather than manufacturing or education.",False,,
1747,QD_PROJECT,Abfallwirtschaft 1989,E38,"Waste collection, treatment and disposal, and recovery activities",0.92,"The project focuses on waste management, which falls under waste collection, treatment, and disposal activities.",E38,"Waste collection, treatment and disposal, and recovery activities",0.95,"The project focuses on waste management (Abfallwirtschaft), which aligns with division E38 covering waste collection, treatment, disposal, and recovery activities.",True,,
2812,QD_PROJECT,Data For: Building a 4E Interview-Grounded Theory Model: A Case Study of Demand Factors for Customized Furniture,C31,Manufacture of furniture,0.92,"The project focuses on understanding consumer demand for customized furniture, which falls under the manufacturing sector related to furniture.",G47,Retail trade,0.9,"The project focuses on consumer demand factors for customized furniture, which aligns with retail trade activities rather than manufacturing or scientific research.",False,,
3438,QD_PROJECT,Sidosryhmien kokemuksia Nord Stream 2 -projektista 2019,F42,Civil engineering,0.85,The project focuses on stakeholder experiences related to the Nord Stream 2 gas pipeline construction and its environmental impacts.,D35,"Electricity, gas, steam and air conditioning supply",0.9,"The project focuses on stakeholder interactions and impacts related to the Nord Stream 2 natural gas pipeline project, which falls under electricity, gas, steam and air conditioning supply (D35).",False,,
3628,QD_PROJECT,Vaatesuunnittelu ikääntyville naisille: haastattelut 2001-2002,C14,Manufacture of wearing apparel,0.92,"The project focuses on clothing design specifically for older women, which falls under the manufacture of wearing apparel.",C14,Manufacture of wearing apparel,0.95,"The project focuses on clothing design and fashion for aging women, which aligns with the manufacture of wearing apparel sector (C14).",True,,
3653,QDA_PROJECT,International Criminal Law Charging Document Database v7.qdpx,N69,Legal and accounting activities,0.9,"The project focuses on legal documentation related to international criminal law, which falls under legal activities.",N69,Legal and accounting activities,0.9,"The project involves a database of international criminal law charging documents, which aligns with legal activities classified under N69 Legal and accounting activities.",True,,
3657,QD_PROJECT,ICPSR Study 36395,K63,"Computing infrastructure, data processing, hosting, and other information service activities",0.85,"The project involves the export of metadata related to a study, which aligns with computing infrastructure and data processing activities.",N72,Scientific research and development,0.85,"The project involves metadata export from a research data repository, indicating scientific research and data management rather than a specific economic sector.",False,,
3805,QDA_PROJECT,Dataset related to: An Empirical Study on Low Code Programming using Traditional vs Large Language Model Support,K62,"Computer programming, consultancy and related activities",0.9,"The project focuses on empirical research related to programming and software development, which aligns with computer programming and consultancy activities.",K62,"Computer programming, consultancy and related activities",0.95,"The project focuses on empirical research related to low-code programming and software development methods, which aligns with computer programming and consultancy activities under K62.",True,,
3806,QDA_PROJECT,On the Way to SBOMs: Investigating Design Issues and Solutions in Practice,N72,Scientific research and development,0.85,"The project investigates design issues and solutions, which aligns with scientific research and development.",N72,Scientific research and development,0.9,"The project investigates design issues and solutions related to Software Bill of Materials (SBOMs), which is a technical and scientific research topic in software engineering, best classified under Scientific research and development (N72).",True,,
3890,QD_PROJECT,Zimbabwe Manufacturing Firm Survey 2015-2016,C32,Other manufacturing,0.9,"The project focuses on a survey of manufacturing firms, which aligns with the manufacturing sector.",C32,Other manufacturing,0.9,"The project is a survey of manufacturing firms in Zimbabwe, which aligns best with the manufacturing sector under division C32 (Other manufacturing).",True,,
3973,QD_PROJECT,Infrastructure Delivery in South Africa 1998,F42,Civil engineering,0.85,"The project focuses on infrastructure delivery, which aligns with civil engineering activities.",F42,Civil engineering,0.9,"The project focuses on infrastructure delivery, which aligns with civil engineering activities under division F42.",True,,
4123,QD_PROJECT,Foetal Alcohol Syndrome Study 2015,R86,Human health activities,0.92,"The project focuses on a health-related study concerning Foetal Alcohol Syndrome, which falls under human health activities.",R86,Human health activities,0.95,"The project focuses on Foetal Alcohol Syndrome, a medical and health-related condition, thus best classified under Human health activities (R86).",True,,
4138,QD_PROJECT,Bureau of Market Research Survey 1985,N73,"Activities of advertising, market research and public relations",0.92,"The project focuses on market research, which falls under activities related to advertising and market research.",N73,"Activities of advertising, market research and public relations",0.85,"The project is a market research survey conducted by the Bureau of Market Research, fitting best under N73 for market research and public relations activities.",True,,
4181,QD_PROJECT,"Electricity, Gas and Water Supply Industry Large Sample Survey 2006-2021, Time Series",D35,"Electricity, gas, steam and air conditioning supply",0.92,"The project focuses on the electricity, gas, and water supply industry, which aligns with the division for electricity, gas, steam and air conditioning supply and water collection, treatment and supply.",D35,"Electricity, gas, steam and air conditioning supply",0.95,"The project focuses on the electricity, gas, and water supply industry, which corresponds primarily to division D35 (Electricity, gas, steam and air conditioning supply) and also relates to E36 (Water collection, treatment and supply).",True,,
4196,QD_PROJECT,Global Youth Tobacco Survey Kenya 2001,C12,Manufacture of tobacco products,0.95,"The project focuses on a survey related to tobacco use among youth, which falls under the manufacture of tobacco products.",R86,Human health activities,0.95,"The project is a health-related survey on youth tobacco use, fitting best under human health activities (R86).",False,,
4341,QD_PROJECT,"Quarterly Labour Force Survey 2014, Quarter 4",O78,Employment activities,0.92,"The project focuses on a labour force survey, which is directly related to employment activities.",O78,Employment activities,0.95,"The project is a labour force survey focused on employment and workforce data, which aligns with Employment activities (O78).",True,,
4859,QDA_PROJECT,Kenya (2012-2013) Qualitative Study on Barriers to Net Use among Most at Risk Populations in Kenya. Round 1,R86,Human health activities,0.92,"The project focuses on understanding barriers to the use of insecticidal nets for malaria prevention, which falls under human health activities.",R86,Human health activities,0.95,"The project focuses on barriers to use of insecticidal nets to prevent malaria among vulnerable populations, which is a public health and human health activity.",True,,
4938,QD_PROJECT,"Reviving rivers, empowering communities: Assessing the impact of rejuvenation efforts in Bodh Gaya villages",E36,"Water collection, treatment and supply",0.85,"The project focuses on assessing the impact of river rejuvenation efforts, which falls under water collection, treatment, and supply activities.",E36,"Water collection, treatment and supply",0.85,"The project focuses on assessing the impact of river rejuvenation efforts, which aligns with water collection, treatment, and supply activities under E36 rather than general environmental research or community development alone.",True,,
