project_id,source_student_id,project_type,project_title,project_description_short,predicted_class_code,predicted_class_title,confidence,reason,manual_label_correct,manual_notes
214,23025313,QD_PROJECT,Data from: A qualitative analysis of an Aβ-monomer model with inflammation processes for Alzheimer’s disease,"<p>We introduce and study a new model for the progression of Alzheimer's disease incorporating the interactions of Aβ-monomers, oligomers, microglial cells and interleukins with neurons through different mechanisms such as protein polymerization, inflammation processes and neural stress reactions. I",R86,Human health activities,0.95,"The project focuses on a qualitative analysis related to health and disease, specifically Alzheimer's disease, which falls under human health activities.",,
750,23025313,QD_PROJECT,Data from: Health assessment of French university students and risk factors associated with mental health disorders,"Objective: The first year of university is a particularly stressful period and can impact academic performance and students’ health. The aim of this study was to evaluate the health and lifestyle of undergraduates and assess risk factors associated with psychiatric symptoms.
Materials and methods:",R86,Human health activities,0.92,"The project focuses on health assessments and psychiatric symptoms among university students, which falls under human health activities.",,
418,23025313,QD_PROJECT,Data from: Local adaptation and the evolution of phenotypic plasticity in Trinidadian guppies (Poecilia reticulata),"Divergent selection pressures across environments can result in phenotypic differentiation that is due to local adaptation, phenotypic plasticity, or both. Trinidadian guppies exhibit local adaptation to the presence or absence of predators, but the degree to which predator-induced plasticity contri",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to evolutionary biology and adaptation in guppies.,,
404,23025313,QD_PROJECT,Colony-age-dependent variation in cuticular hydrocarbon profiles in subterranean termite colonies,"<p>Cuticular hydrocarbons (CHCs) have, in insects, important physiological and ecological functions, such as protection against desiccation and as semiochemicals in eusocial taxa, including termites. CHCs are, in termites, known to vary qualitatively and/or quantitatively among species, populations,",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to the ecological and physiological aspects of termites.,,
719,23025313,QD_PROJECT,"Risky sexual behaviours and utilization of HIV testing services among the adolescent girls and young women aged between 15-24 years in Kibra Sub County, Nairobi County, Kenya ","<p><strong>Introduction: </strong>HIV remains a significant global health challenge, disproportionately affecting adolescent girls and young women (AGYW). HIV testing is crucial in controlling the infection and reducing its prevalence. Understanding risky sexual behaviors among AGYW is pivotal in al",R86,Human health activities,0.95,"The project focuses on HIV testing and risky sexual behaviors among adolescent girls and young women, which falls under human health activities.",,
35,23025313,QD_PROJECT,Qualitative responses from students during spring 2019,"<p>During the Spring Semester of 2020, an outbreak of a novel coronavirus (SARS-CoV-2) and the illnesses it caused (COVID-19) led to widespread cancelling of on-campus instruction at colleges and universities in the United States and other countries around the world. Response to the pandemic in univ",Q85,Education,0.95,"The project focuses on the experiences of university students during a transition to online learning, which falls under the domain of education.",,
723,23025313,QD_PROJECT,Adjacency matrices and nodal attributes for prestige and homophily predict network structure for social learning of medicinal plant knowledge,"<p>Human subsistence societies have thrived in environmental extremes while maintaining biodiversity through social learning of ecological knowledge, such as techniques to prepare food and medicine from local resources. However, there is limited understanding of which processes shape social learning",N72,Scientific research and development,0.85,"The project focuses on understanding social learning patterns and ecological knowledge networks, which aligns with scientific research and development.",,
748,23025313,QD_PROJECT,"Towards hepatitis B elimination in Ghana: Vaccination coverage and its predictors among informal sector workers in Kejetia, Kumasi, Ghana","<p>Hepatitis B virus (HBV) infection remains a major public health concern in Ghana, where prevalence is high despite the availability of an effective vaccine. Informal sector workers represent a large proportion of the national workforce but have limited access to preventive health services. This s",R86,Human health activities,0.95,"The project focuses on hepatitis B vaccination coverage and its predictors among informal sector workers, which falls under human health activities.",,
322,23025313,QD_PROJECT,Flow cytometry YFP and CFP data and deep sequencing data of populations evolving in galactose ,"<p><span lang=""EN-US"">Copy-number and point mutations form the basis for most evolutionary novelty through the process of gene duplication and divergence. While a plethora of genomic sequence data reveals the long-term fate of diverging coding sequences and their cis-regulatory elements, little is k",N72,Scientific research and development,0.95,The project focuses on scientific research and development in the field of evolutionary biology and genetics.,,
531,23025313,QD_PROJECT,Age matters: Demographic senescence in the moss Polytrichastrum formosum,"<p>It is known that many animal species senesce demographically, showing a decrease in survival and/or fertility with age. Though there is mounting evidence for and against senescence in various flowering plant species, the question of whether senescence also occurs in other plant taxa, such as moss",N72,Scientific research and development,0.95,"The project focuses on scientific research and development related to demographic senescence in mosses, which aligns with the activities classified under N72.",,
171,23025313,QD_PROJECT,Restoration and replication: a case study on the value of computational reproducibility assessment,"<p class=""MsoNormal"">Open science is vital to the interdisciplinary field of ecology due to its integrative nature and use of longitudinal datasets that build upon earlier data collections. To highlight the importance of open science in the rapidly growing discipline of restoration ecology, we condu",N72,Scientific research and development,0.95,"The project focuses on scientific research and development in the field of ecology, emphasizing the importance of reproducibility and open data.",,
319,23025313,QD_PROJECT,Predicting harvest impact and establishment success when translocating highly mobile and endangered species,"<p>Harvesting individuals for translocations can negatively impact source populations, a critical challenge for species reduced to small populations. Consequently, translocation cohorts often remain small, reducing the establishment probability at the destination. Balancing the potential benefits an",A01,"Crop and animal production, hunting and related service activities",0.85,"The project focuses on the conservation and management of endangered species, which falls under crop and animal production activities.",,
436,23025313,QD_PROJECT,Data from: Parallel emergence of negative epistasis across experimental lineages,"Epistatic interactions can greatly impact evolutionary phenomena, particularly the process of adaptation. Here, we leverage four parallel experimentally evolved lineages to study the emergence and trajectories of epistatic interactions in the social bacterium Myxococcus xanthus. A social gene (pilA)",N72,Scientific research and development,0.95,The project focuses on scientific research and development in the field of evolutionary biology.,,
736,23025313,QD_PROJECT,Data from: Spontaneous forest regrowth in South-West Europe: consequences for nature’s contributions to people,"<p><b><i>Context</i></b> European forests are expanding and becoming denser following the widespread abandonment of farmland and rural areas. Yet, little is known about the goods and services that spontaneous forest regrowth provide to people.</p>

<p><b><i>Aims </i></b>We assessed the changes in",A02,Forestry and logging,0.92,"The project focuses on spontaneous forest regrowth and its ecological impacts, which aligns with forestry and logging activities.",,
570,23025313,QD_PROJECT,"Data from: Phylogenetic treatment and taxonomic revision of the trapdoor spider genus Aptostichus Simon (Araneae, Mygalomorphae, Euctenizidae)","This systematic study documents the taxonomy, diversity, and distribution of 40 species of the predominately Californian trapdoor spider genus Aptostichus Simon, 1891. Thirty-three of these species are newly described: Aptostichus dantrippi, Aptostichus cabrillo, Aptostichus pennjillettei, Aptostich",N72,Scientific research and development,0.95,The project focuses on scientific research and development in the field of taxonomy and phylogenetics of a specific spider genus.,,
46,23025313,QD_PROJECT,Generative AI use by blind and low vision software professionals in the workplace,<p>The software development workplace poses numerous technical and collaborative accessibility challenges for blind and low vision software professionals (BLVSPs). Though Generative AI (GenAI) is increasingly adopted within the software development industry and has been a rapidly growing topic of in,K62,"Computer programming, consultancy and related activities",0.92,"The project focuses on the use of Generative AI in the software development workplace, specifically addressing accessibility challenges faced by blind and low vision software professionals.",,
832,23025313,QD_PROJECT,Finnish Government Media Conferences on COVID-19 2020,"The data consists of transcripts of media conferences organised by the Finnish Government on measures to prevent the COVID-19 pandemic. The media conferences were mainly attended by Prime Minister Sanna Marin, the Prime Minister's Cabinet Ministers, national authorities, various experts and media re",P84,Public administration and defence; compulsory social security,0.92,"The project focuses on government media conferences regarding public health measures and policies related to COVID-19, which falls under public administration and defense.",,
305,23025313,QD_PROJECT,Data from: Migration highways and migration barriers created by host-parasite interactions,"Coevolving parasites may play a key role in host migration and population structure.  Using coevolving bacteria and viruses, we test general hypotheses as to how coevolving parasites affect the success of passive host migration between habitats that can support different intensities of host-parasite",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to ecological interactions and population dynamics.,,
169,23025313,QD_PROJECT,Data from: Phylogeographic concordance factors quantify phylogeographic congruence among co-distributed species in the Sarracenia alata pitcher plant system,"Comparative phylogeographic investigations have identified congruent phylogeographic breaks in co-distributed species in nearly every region of the world. The qualitative assessments of phylogeographic patterns traditionally used to identify such breaks, however, are limited because they rely on ide",N72,Scientific research and development,0.95,The project focuses on scientific research and development in the field of phylogeography and ecology.,,
751,23025313,QD_PROJECT,Data from: The ecology and economics of shorebird conservation in a tropical human-modified landscape,"1. Rapid and extensive land-use change in intertidal foraging habitat and coastal roosting habitat is thought to be driving major population declines of shorebirds migrating through the East Asian-Australasian Flyway. Along the Inner Gulf of Thailand, a critical stopover and wintering ground for the",A03,Fishing and aquaculture,0.92,"The project focuses on the ecology and economics of shorebird conservation in relation to aquaculture and saltpan management, which falls under the fishing and aquaculture sector.",,
491,23025313,QD_PROJECT,Data from: Nest signature changes throughout colony cycle and after social parasite invasion in social wasps,"Social insects recognize their nestmates by means of a cuticular hydrocarbon signature shared by colony members, but how nest signature changes across time has been rarely tested in longitudinal studies and in the field. In social wasps, the chemical signature is also deposited on the nest surface,",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to social insects and their chemical signatures.,,
600,23025313,QD_PROJECT,NIRS data during sandplay and interview,"<p>Interactions between the client (Cl) and therapist (Th) evolve therapeutic relationships in psychotherapy. An interpersonal link or therapeutic space is implicitly developed wherein certain important elements are expressed and shared.  However, neural basis of psychotherapy, especially of non-ver",R86,Human health activities,0.95,"The project focuses on the neural basis of psychotherapy, which falls under human health activities.",,
645,23025313,QD_PROJECT,Data from: A cross sectional study of the relationship between the exposure of pregnant women to military attacks in 2014 in Gaza and the load of heavy metal contaminants in the hair of mothers and ne,OBJECTIVE: Metal contamination of humans in wars areas was rarely investigated. Weaponry’s heavy-metals become environmentally stable war-remnants and accumulate in livings. They pose health risks also by prenatal intake and potential long-term risks for reproductive and children’s health. We studie,R86,Human health activities,0.95,"The research focuses on health outcomes related to chemical exposure, specifically heavy metals, in a vulnerable population.",,
819,23025313,QD_PROJECT,The Narratives of Finland: Exhibition Creator Interviews 2021-2022,The data consists of interviews with the creators of the Narratives of Finland exhibition at the National Museum of Finland. The data was collected as part of a study that examined how images of Finnishness have been constructed in official and unofficial historical culture. The interviews explore t,S91,"Library, archives, museum and other cultural activities",0.92,"The project focuses on interviews related to the creation of a museum exhibition, which falls under cultural activities associated with museums.",,
619,23025313,QD_PROJECT,Data from: A low-cost solution for documenting distribution and abundance of endangered marine fauna and impacts from fisheries,"Fisheries bycatch is a widespread and serious issue that leads to declines of many important and threatened marine species. However, documenting the distribution, abundance, population trends and threats to sparse populations of marine species is often beyond the capacity of developing countries bec",A03,Fishing and aquaculture,0.95,"The project focuses on documenting the distribution and abundance of marine fauna and the impacts of fisheries, which aligns with the fishing and aquaculture sector.",,
627,23025313,QD_PROJECT,Data from: Does hugging provide stress-buffering social support? A study of susceptibility to upper respiratory infection and illness,"Perceived social support has been hypothesized to protect against the pathogenic effects of stress. How such protection might be conferred, however, is not well understood. Using a sample of 404 healthy adults, we examined the roles of perceived social support and received hugs in buffering against",R86,Human health activities,0.95,"The research focuses on psychological health and the effects of social support on stress and illness, aligning it with human health activities.",,
191,23025313,QD_PROJECT,Use of intrapartum evidence-based practices in childbirth after participating in the Senses of Birth intervention among Brazilian women,"<p>Brazil has a cesarean rate of 56% and low use of Intrapartum Evidence-based Practices (IEBP) of 3.4%, reflecting a medically centered and highly interventionist maternal health care model. The Senses of Birth (SoB) is a health education intervention created to promote normal birth, use of EBP, an",R86,Human health activities,0.95,"The project focuses on maternal health and childbirth practices, which falls under human health activities.",,
