project_id,project_type,title,gpt4o_primary_code,gpt4o_primary_title,gpt4o_confidence,gpt4o_reason
350,QD_PROJECT,"Data from: Life at the top: lake ecotype influences the foraging patterns, metabolic costs and life history of an apex fish predator",A03,Fishing and aquaculture,0.95,"The research focuses on the foraging patterns and metabolic costs of a fish predator, which falls under the category of fishing and aquaculture."
360,QD_PROJECT,Early detection and environmental drivers of sewage fungus outbreaks in rivers,E36,"Water collection, treatment and supply",0.95,"The project focuses on water quality and pollution related to sewage, which aligns with water collection, treatment, and sewerage activities."
684,QD_PROJECT,"Change in gender roles as a factor in gender participation and empowerment in the oil mining industry: A case of Lokichar, Turkana county, Kenya",B06,Extraction of crude petroleum and natural gas,0.85,"The research focuses on gender roles and participation in the oil mining industry, which aligns with the extraction of crude petroleum and natural gas."
972,QD_PROJECT,News Articles about Finns Party Members Convicted of Hate Speech 2016-2017,J60,"Programming, broadcasting, news agency and other content distribution activities",0.92,"The project focuses on news articles discussing political hate speech convictions, which aligns with content distribution activities."
1013,QD_PROJECT,Collaborative Planning of Urban Green Infrastructure 2013,O81,Services to buildings and landscape activities,0.92,"The project focuses on planning urban green areas and involves interviews with professionals in urban planning, which aligns with landscape activities."
1025,QD_PROJECT,Food Diaries of Finns 2013,C10,Manufacture of food products,0.85,"The project focuses on food diaries, which relate to food consumption and preferences, aligning it with the manufacture of food products."
1043,QD_PROJECT,Interviews on Enterprise Development in Kauhajoki 2013,O82,"Office administrative, office support and other business support activities",0.85,"The project focuses on enterprise development and entrepreneurship, which aligns with business support activities."
1114,QD_PROJECT,Clothing Design for Ageing Women 2001-2002: Interviews,C14,Manufacture of wearing apparel,0.85,"The project focuses on clothing design specifically for ageing women, which aligns with the manufacture of wearing apparel."
1153,QD_PROJECT,Young Girls' Mobile Phone Use 2000-2002,K61,Telecommunications,0.85,"The project focuses on the use of mobile phones among young girls, which falls under telecommunications and communication technology."
1327,QD_PROJECT,Bilateral Trade,G46,Wholesale trade,0.9,"The project focuses on bilateral trade data, which falls under wholesale trade activities."
1725,QD_PROJECT,Sauberkeit 1967,T96,Personal service activities,0.85,"The project focuses on household washing habits, which falls under personal service activities."
1731,QD_PROJECT,Einstellung der Jugendlichen zu verschiedenen Produktbereichen (Band 3) 1971,G47,Retail trade,0.85,"The project focuses on youth opinions regarding various consumer products, aligning it with retail trade and consumer behavior."
1747,QD_PROJECT,Abfallwirtschaft 1989,E38,"Waste collection, treatment and disposal, and recovery activities",0.92,"The project focuses on waste management, which falls under waste collection, treatment, and disposal activities."
2812,QD_PROJECT,Data For: Building a 4E Interview-Grounded Theory Model: A Case Study of Demand Factors for Customized Furniture,C31,Manufacture of furniture,0.92,"The project focuses on understanding consumer demand for customized furniture, which falls under the manufacturing sector related to furniture."
3438,QD_PROJECT,Sidosryhmien kokemuksia Nord Stream 2 -projektista 2019,F42,Civil engineering,0.85,The project focuses on stakeholder experiences related to the Nord Stream 2 gas pipeline construction and its environmental impacts.
3628,QD_PROJECT,Vaatesuunnittelu ikääntyville naisille: haastattelut 2001-2002,C14,Manufacture of wearing apparel,0.92,"The project focuses on clothing design specifically for older women, which falls under the manufacture of wearing apparel."
3653,QDA_PROJECT,International Criminal Law Charging Document Database v7.qdpx,N69,Legal and accounting activities,0.9,"The project focuses on legal documentation related to international criminal law, which falls under legal activities."
3657,QD_PROJECT,ICPSR Study 36395,K63,"Computing infrastructure, data processing, hosting, and other information service activities",0.85,"The project involves the export of metadata related to a study, which aligns with computing infrastructure and data processing activities."
3805,QDA_PROJECT,Dataset related to: An Empirical Study on Low Code Programming using Traditional vs Large Language Model Support,K62,"Computer programming, consultancy and related activities",0.9,"The project focuses on empirical research related to programming and software development, which aligns with computer programming and consultancy activities."
3806,QDA_PROJECT,On the Way to SBOMs: Investigating Design Issues and Solutions in Practice,N72,Scientific research and development,0.85,"The project investigates design issues and solutions, which aligns with scientific research and development."
3890,QD_PROJECT,Zimbabwe Manufacturing Firm Survey 2015-2016,C32,Other manufacturing,0.9,"The project focuses on a survey of manufacturing firms, which aligns with the manufacturing sector."
3973,QD_PROJECT,Infrastructure Delivery in South Africa 1998,F42,Civil engineering,0.85,"The project focuses on infrastructure delivery, which aligns with civil engineering activities."
4123,QD_PROJECT,Foetal Alcohol Syndrome Study 2015,R86,Human health activities,0.92,"The project focuses on a health-related study concerning Foetal Alcohol Syndrome, which falls under human health activities."
4138,QD_PROJECT,Bureau of Market Research Survey 1985,N73,"Activities of advertising, market research and public relations",0.92,"The project focuses on market research, which falls under activities related to advertising and market research."
